resource_id,units,OzoneFormationTerrestrialEcosystems,WaterConsumption,MarineEutrophication,MarineEcotoxicity,LandUse,FineParticulateMatterFormation,MineralResourceScarcity,IonizingRadiation,HumanNonCarcinogenicToxicity,FreshwaterEutrophication,TerrestrialAcidification,FossilResourceScarcity,GlobalWarming,StratosphericOzoneDepletion,TerresetrialEcotoxicity,HumanCarcinogenicToxicity,FreshwaterEcotoxicity,OzoneFormationHumanHealth
3,weight,0.00057,0.32545,2.47E-06,0.0085,0.00094,0.00024,0.01409,0.00392,0.0862,3.20E-05,0.00053,0.0541,0.25929,4.19E-08,0.3672,0.00746,0.00658,0.00055
4,weight,0.00021,0.02845,6.12E-07,0.00102,0.00932,8.67E-05,2.39E-06,0.00042,0.01906,8.22E-06,0.00022,0.01042,0.04274,1.26E-08,0.17744,0.00093,0.0007,0.0002
5,weight,0.0008,2.32633,4.89E-06,0.00529,0.00196,0.00038,1.66E-05,0.00747,0.08286,2.73E-05,0.00093,0.09588,0.94625,1.31E-07,1.7306,0.00428,0.00315,0.00078
6,weight,0.00242,0.60377,7.43E-06,0.0054,0.00325,0.00051,0.00172,0.00524,0.07502,1.35E-05,0.00127,0.08245,0.83739,1.95E-07,0.9146,0.00264,0.00387,0.0024
15,,0.0004,4.25772,5.55E-05,0.04432,0.01883,0.00035,6.66E-05,0.04376,0.18704,3.52E-05,0.00104,0.05879,0.26326,8.91E-07,0.93534,0.0069,0.03665,0.00039
22,weight,0.00035,0.07802,9.88E-07,0.00091,0.00386,7.99E-05,0.0001,0.00074,0.01325,2.36E-06,0.00021,0.01085,0.06854,4.48E-08,0.19672,0.00064,0.00063,0.00034
25,count,67.67483,90258.4,1.24299,9799.51089,55.41117,48.97633,34.64617,1381.60448,164335,12.46942,97.09718,6018.63099,23860.4,0.00897,222098,6039.24904,7335.26482,64.3837
26,weight,0.00235,0.57409,5.09E-06,0.01299,0.00188,0.00132,6.12E-05,0.03221,0.15316,4.17E-05,0.00387,1.15931,0.48371,9.25E-07,1.34294,0.01038,0.00836,0.00222
