resource_id,units,Flow,Category,Uncertainty,Avoided waste,Provider,Data quality entry,Description
3,weight,clay brick,C:Manufacturing/23:Manufacture of other non-metallic mineral products/239:Manufacture of non-metallic mineral products n.e.c./2392:Manufacture of clay building materials,none,,"clay brick production | clay brick | APOS, U - RoW",,
4,weight,silica sand,"C:Manufacturing/20:Manufacture of chemicals and chemical products/201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics and synthetic rubber in primary forms/2011:Manufacture of basic chemicals",none,,"silica sand production | silica sand | APOS, S - RoW",,
5,weight,"lime, hydrated, packed","C:Manufacturing/23:Manufacture of other non-metallic mineral products/239:Manufacture of non-metallic mineral products n.e.c./2394:Manufacture of cement, lime and plaster",none,,"lime production, hydrated, packed | lime, hydrated, packed | APOS, U - RoW",,
6,weight,"cement, Portland","C:Manufacturing/23:Manufacture of other non-metallic mineral products/239:Manufacture of non-metallic mineral products n.e.c./2394:Manufacture of cement, lime and plaster",none,,"cement production, Portland | cement, Portland | APOS, U - BR",,
15,,"electricity, low voltage","D:Electricity, gas, steam and air conditioning supply/35:Electricity, gas, steam and air conditioning supply/351:Electric power generation, transmission and distribution/3510:Electric power generation, transmission and distribution/3510b: Electric power generation, photovoltaic",none,,"market for electricity, low voltage | electricity, low voltage | APOS, U - BR, South-eastern grid",,
22,weight,concrete block,"C:Manufacturing/23:Manufacture of other non-metallic mineral products/239:Manufacture of non-metallic mineral products n.e.c./2395:Manufacture of articles of concrete, cement and plaster",none,,"concrete block production | concrete block | APOS, U - BR",,
25,count,"lorry, 16 metric ton","C:Manufacturing/29:Manufacture of motor vehicles, trailers and semi-trailers/291:Manufacture of motor vehicles/2910:Manufacture of motor vehicles",none,,"market for lorry, 16 metric ton | lorry, 16 metric ton | APOS, U - GLO",,
26,weight,diesel,C:Manufacturing/19:Manufacture of coke and refined petroleum products/192:Manufacture of refined petroleum products/1920:Manufacture of refined petroleum products,none,,"market for diesel | diesel | APOS, U - BR",,
